               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.017689,           0.0077132,           0.0014007,             0.96363,             0.95555,             0.97578,             0.76135,            0.018233,           0.0082248,           0.0011912,            0.001783,            0.001783,            0.001783
                  85,            0.017566,           0.0076317,            0.001466,             0.96511,             0.95482,             0.97537,             0.75984,             0.01826,           0.0082392,           0.0012267,            0.001684,            0.001684,            0.001684
                  86,            0.017397,           0.0076336,           0.0013084,             0.96141,              0.9578,             0.97544,             0.76121,            0.018264,           0.0082387,           0.0012401,            0.001585,            0.001585,            0.001585
                  87,            0.017499,           0.0075134,           0.0014544,             0.96374,             0.95399,             0.97495,             0.76038,            0.018241,           0.0082156,           0.0012478,            0.001486,            0.001486,            0.001486
                  88,            0.017577,           0.0075566,           0.0013361,             0.96061,             0.95477,             0.97462,             0.76023,            0.018243,           0.0082135,           0.0012104,            0.001387,            0.001387,            0.001387
                  89,             0.01745,           0.0076406,           0.0014565,             0.95842,             0.95435,             0.97426,              0.7604,            0.018224,           0.0082241,             0.00123,            0.001288,            0.001288,            0.001288
                  90,            0.017477,           0.0075022,           0.0014933,             0.96355,             0.95014,             0.97376,             0.75931,            0.018224,           0.0082166,            0.001263,            0.001189,            0.001189,            0.001189
                  91,            0.017287,           0.0075093,           0.0014736,             0.96372,             0.95126,             0.97457,             0.76019,            0.018202,           0.0081997,           0.0012554,             0.00109,             0.00109,             0.00109
                  92,             0.01714,           0.0075321,           0.0013199,             0.96005,             0.95189,             0.97484,             0.76001,            0.018211,            0.008213,           0.0012737,            0.000991,            0.000991,            0.000991
                  93,            0.017034,           0.0074763,           0.0012963,             0.96214,             0.95243,             0.97507,             0.75918,            0.018217,           0.0082498,           0.0012752,            0.000892,            0.000892,            0.000892
                  94,            0.017205,           0.0075426,           0.0013209,              0.9622,             0.95477,             0.97495,              0.7597,            0.018212,           0.0082593,            0.001246,            0.000793,            0.000793,            0.000793
                  95,            0.017129,           0.0074977,           0.0013713,             0.96411,             0.95594,             0.97516,             0.76069,            0.018222,           0.0082456,           0.0012168,            0.000694,            0.000694,            0.000694
                  96,            0.017005,           0.0074761,           0.0015068,             0.96516,             0.95409,             0.97457,              0.7602,            0.018219,           0.0082422,           0.0012261,            0.000595,            0.000595,            0.000595
                  97,            0.016922,           0.0073376,           0.0013546,             0.96484,             0.95531,              0.9752,             0.76058,            0.018215,           0.0082364,            0.001238,            0.000496,            0.000496,            0.000496
                  98,            0.016926,           0.0072423,           0.0011785,             0.96299,             0.95626,             0.97535,              0.7609,            0.018219,           0.0082334,           0.0012451,            0.000397,            0.000397,            0.000397
                  99,            0.016806,           0.0073623,           0.0014865,             0.96494,             0.95428,             0.97517,             0.76166,            0.018208,           0.0082379,           0.0012576,            0.000298,            0.000298,            0.000298
